date,location,avg_pm25,max_pm25,min_pm25
2025-03-12,"Somajiguda, Hyderabad, India",144,159,138
2025-03-13,"Somajiguda, Hyderabad, India",138,138,138
2025-03-14,"Somajiguda, Hyderabad, India",138,138,138
2025-03-15,"Somajiguda, Hyderabad, India",138,138,138
2025-03-16,"Somajiguda, Hyderabad, India",126,138,89
2025-03-17,"Somajiguda, Hyderabad, India",133,138,94
2025-03-18,"Somajiguda, Hyderabad, India",138,138,138
2025-03-19,"Somajiguda, Hyderabad, India",118,138,89
2025-03-20,"Somajiguda, Hyderabad, India",110,138,89
